GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookingService,com.bookingservice.model,Passenger,51,316,36,28,0,11,29,25,0,22
BookingService,com.bookingservice.model,BookingStatus,0,15,0,0,0,3,0,1,0,1
BookingService,com.bookingservice.model,BookingEvent,30,57,0,0,10,27,10,15,10,15
BookingService,com.bookingservice.model,TripType,0,15,0,0,0,3,0,1,0,1
BookingService,com.bookingservice.model,Gender,0,21,0,0,0,4,0,1,0,1
BookingService,com.bookingservice.model,Booking,71,382,47,33,0,13,38,28,0,26
BookingService,com.bookingservice.model,Meal,0,15,0,0,0,3,0,1,0,1
BookingService,com.bookingservice.model,BookingEventType,0,15,0,0,0,3,0,1,0,1
BookingService,com.bookingservice.controller,MainController,0,27,0,0,0,7,0,5,0,5
BookingService,com.bookingservice,BookingServiceApplication,5,3,0,0,2,1,1,1,1,1
BookingService,com.bookingservice.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
BookingService,com.bookingservice.exceptions,ValidationException,0,4,0,0,0,2,0,1,0,1
BookingService,com.bookingservice.exceptions,GlobalErrorHandler,30,106,5,5,6,25,5,14,2,12
BookingService,com.bookingservice.requests,PassengerRequest,0,45,0,0,0,19,0,13,0,13
BookingService,com.bookingservice.requests,BookingRequest,0,38,0,0,0,16,0,11,0,11
BookingService,com.bookingservice.service,BookingService,36,495,2,30,8,118,4,35,2,21
BookingService,com.bookingservice.service,EmailService,17,144,6,10,1,31,8,9,2,7
BookingService,com.bookingservice.service,BookingEventProducer,9,35,3,3,1,10,5,3,2,3
BookingService,com.bookingservice.service,TicketService,0,54,1,7,0,13,1,5,0,2
BookingService,com.bookingservice.client,FlightClient,0,112,0,0,0,28,0,8,0,8
BookingService,com.bookingservice.client,FlightDto,0,17,0,0,0,7,0,5,0,5
BookingService,com.bookingservice.client,WebClientConfig,0,13,0,0,0,5,0,2,0,2
